,node1,n1_isTP1_dnb,n1_isTP2_dnb,node2,n2_isTP1_dnb,n2_isTP2_dnb,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
IFT88_KIFAP3,IFT88,1,,KIFAP3,,,1,,,,,,,,,,,1
NBN_RIF1,NBN,1,,RIF1,,,1,,,,,,,,,,,
BYSL_PWP2,BYSL,1,,PWP2,1,1,1,,,,,,,,,,,
FBXO17_KLHL42,FBXO17,,1,KLHL42,1,,1,,,1,1,,,1,,,1,1
ATF6_HSPA5,ATF6,,1,HSPA5,1,,1,,,1,1,,1,1,,1,1,
RPL10A_RPL5,RPL10A,1,1,RPL5,,,1,1,,,,,,,,,,
PFN1_SLIT2,PFN1,,,SLIT2,1,,1,1,1,,,1,,,,,,
MCM6_POLA1,MCM6,1,,POLA1,1,,1,,,,,,,,,,,
PHKB_PYGB,PHKB,,,PYGB,,,1,1,,1,,,,,,1,,1
HNRNPF_PCBP2,HNRNPF,1,,PCBP2,1,1,1,,,,,,,,,,,
RPL7L1_RSRC1,RPL7L1,,,RSRC1,1,,1,1,,,,,,,,,,1
PCBP2_SNRNP70,PCBP2,1,1,SNRNP70,1,1,1,,,,,1,,1,,,,
TRAIP_UBE2N,TRAIP,1,,UBE2N,1,1,1,1,,1,,1,,,,1,,
KPNB1_RCC1,KPNB1,1,,RCC1,,,1,,,1,,,,,,,,
DVL1_FZD2,DVL1,1,,FZD2,1,,1,,1,1,1,1,,,,,,
PELP1_RPL10,PELP1,1,1,RPL10,1,1,1,1,1,,,,1,,,,,
DPYSL3_PLXNA1,DPYSL3,,,PLXNA1,,,1,,,,,,,,,,,
LPCAT1_PLA2G4A,LPCAT1,,,PLA2G4A,1,,1,,,,,,,,,,1,1
ADCY3_PRKCE,ADCY3,1,1,PRKCE,1,,1,1,,1,,,,,1,,,1
ACAA1_CRYL1,ACAA1,,,CRYL1,,,1,1,1,,,,,1,,,1,1
MRPL28_MTIF2,MRPL28,,1,MTIF2,1,1,1,,,,,,,,,,,
E2F3_PLAU,E2F3,1,,PLAU,,,1,,1,,1,1,,,,,,
CCNB1_PCNA,CCNB1,1,1,PCNA,1,1,1,,,,,,,,,,,
PPP2R5C_PSMB7,PPP2R5C,1,1,PSMB7,,1,1,1,,1,,,,,,1,,
GRWD1_TSR1,GRWD1,1,,TSR1,1,,1,,,,,,,1,,,,
POLR1E_POLR2K,POLR1E,1,,POLR2K,1,,1,1,1,,1,1,,1,,,1,
COQ2_TIMM44,COQ2,1,,TIMM44,1,,1,,,,,,,,,,,
DUT_RRM2,DUT,,,RRM2,1,,1,,,1,,,1,,,,,
ARF1_ARF6,ARF1,1,1,ARF6,1,,1,1,1,,,,,,,1,,1
PDCD11_RRP9,PDCD11,1,,RRP9,1,1,1,,,,,1,,,,,,
CDC20_FBXL7,CDC20,1,,FBXL7,1,,1,1,,,,,,,,,1,1
CERS4_SPHK1,CERS4,,,SPHK1,1,1,1,1,,,,,,,,1,,
FBXO17_UBE2E3,FBXO17,,1,UBE2E3,,1,1,,,,,,,,,,,1
SCLT1_TCTN2,SCLT1,1,1,TCTN2,,,1,,,,,,,,,1,1,1
ICAM1_IL1B,ICAM1,1,,IL1B,1,,1,1,1,,,,,,,1,1,1
DNAJA1_HSPA1A,DNAJA1,1,,HSPA1A,1,1,1,1,1,,,,,,,1,,1
RPL13_RPL24,RPL13,1,1,RPL24,,,1,1,,,,,,,,,,
FBXO9_ZBTB16,FBXO9,1,1,ZBTB16,1,1,1,,,1,1,1,,1,,,,
AGK_AGPAT5,AGK,,,AGPAT5,1,,1,,,,,,,,,,,
CEP131_SCLT1,CEP131,,,SCLT1,1,1,1,,,,,,,,,,,
PJA1_RBCK1,PJA1,1,,RBCK1,1,,1,1,1,1,,,1,1,,,,1
CDKN1A_HIF1A,CDKN1A,,1,HIF1A,,,1,1,,1,1,,1,1,,1,,
GAST_PLCB3,GAST,1,,PLCB3,,1,1,,1,,,,,,,,,
ORC1_PSMB10,ORC1,1,,PSMB10,1,1,1,,,,,,1,1,,,1,
CENPE_STAG1,CENPE,1,,STAG1,1,,1,1,,,1,,,1,,1,,
IRF1_TRIM8,IRF1,1,1,TRIM8,,,1,,,,1,,,,,,,
CCNB2_CDK6,CCNB2,1,,CDK6,1,,1,,1,,,,,,,1,,
NOC4L_RRP12,NOC4L,1,1,RRP12,1,,1,1,1,1,,1,,,,,,
BYSL_RPF1,BYSL,1,,RPF1,1,,1,1,1,,,,,,,,,
BYSL_PDCD11,BYSL,1,,PDCD11,1,,1,,,,,1,,,,,,
DDX46_SRSF6,DDX46,,,SRSF6,1,,1,1,1,,,1,,,,,,
NRAS_YWHAG,NRAS,1,1,YWHAG,1,,1,,,,1,,,,,,,
CCT2_XRN2,CCT2,,1,XRN2,1,,1,,,,,1,,,,,,
DHX37_PWP2,DHX37,1,,PWP2,1,1,1,,,,,,,,,,,
BUB3_TTK,BUB3,1,1,TTK,1,,1,,,1,1,,,,,,,
MYC_TFDP2,MYC,1,,TFDP2,,,1,,,,,,1,1,,,,
CENPF_SGO1,CENPF,1,,SGO1,1,,1,,,,,,,,,,,
CCNB2_SGO1,CCNB2,1,,SGO1,1,,1,,,,,,,,,,,
ADK_ADSL,ADK,1,,ADSL,,1,1,1,,,,1,,1,,1,1,1
POLR1A_UTP20,POLR1A,1,,UTP20,1,,1,,1,,,,,,,,,
CANX_TAPBP,CANX,,,TAPBP,,,1,,,,,,,,,,,
E2F3_POLA1,E2F3,1,,POLA1,1,,1,1,1,,,1,,,,,,
DHFR2_GART,DHFR2,,,GART,1,,1,1,,,,,,,,,,
FZD8_WNT5B,FZD8,,,WNT5B,,,1,,,,,1,,,,,,
APEX1_FEN1,APEX1,1,,FEN1,1,,1,1,1,,,,,,,,,
CHERP_SF3B4,CHERP,1,,SF3B4,1,,1,,,,,,,,,,,
KIF18A_KIF20A,KIF18A,1,,KIF20A,1,,1,,,,,,,,,,,
HAUS6_TUBG1,HAUS6,1,,TUBG1,1,,1,,1,,,,,,,1,,1
HNRNPA1_HNRNPM,HNRNPA1,1,1,HNRNPM,1,1,1,1,1,,,,,1,,,,
CCNA2_KIF20A,CCNA2,1,,KIF20A,1,,1,1,1,,,,,,,,,1
NOP56_RPP40,NOP56,1,,RPP40,1,,1,1,,,,,,,,,,
ACTN1_SPTBN1,ACTN1,1,1,SPTBN1,1,,1,1,,,,,,,,,,
KRI1_NOC3L,KRI1,1,,NOC3L,1,,1,,,,,,,1,,,,
BCAR1_PRKCA,BCAR1,1,,PRKCA,1,1,1,1,1,,,1,,1,,,,
POLR1A_RRP12,POLR1A,1,,RRP12,1,,1,,1,,,1,,,,,,
EEF1A1_RPS7,EEF1A1,1,1,RPS7,,1,1,1,1,,,,,,,1,,
ENTPD2_POLR1A,ENTPD2,1,,POLR1A,1,,1,,1,,,,,,,,,
LAMA3_LAMC2,LAMA3,,,LAMC2,,,1,1,1,,,,,,,,,
POLR1B_RRP12,POLR1B,1,,RRP12,1,,1,,,,,,,,,,,
CHEK1_RFC5,CHEK1,1,1,RFC5,1,,1,1,,,,,,,,,,
KIF2A_NBAS,KIF2A,1,,NBAS,1,,1,1,,,,,,,,,,
ACER1_SPHK1,ACER1,,,SPHK1,1,1,1,1,,,,,,,,1,,
CENPQ_ZWINT,CENPQ,1,,ZWINT,,,1,,,,,,,,,,,
NOP58_TEX10,NOP58,1,,TEX10,,,1,1,,,,,1,,,,,1
ERCC6L_RAD21,ERCC6L,1,,RAD21,1,,1,,,,,,,,,,,
RRP9_TSR1,RRP9,1,1,TSR1,1,,1,,,,,,,,,,,
THSD1_THSD4,THSD1,,,THSD4,1,,1,1,,,,1,,,,,,
CBL_MYOF,CBL,1,,MYOF,,,1,,,,,,,,,,,1
CENPE_KIF20A,CENPE,1,,KIF20A,1,,1,1,,,1,,,,,,,
SMARCE1_WDR77,SMARCE1,1,,WDR77,1,,1,1,,,,,,,,,,
MAPK1_PRKCA,MAPK1,,,PRKCA,1,1,1,,1,,,,,1,1,,,1
MRPL12_MRPS18B,MRPL12,1,,MRPS18B,1,1,1,,,,,,,1,1,,,
CDK9_NABP1,CDK9,,,NABP1,,,1,1,1,1,1,,,,,,1,
NBN_NSD2,NBN,1,,NSD2,,,1,,,,,,,,,,,
AURKB_DLGAP5,AURKB,1,,DLGAP5,1,,1,1,,,,,,,1,1,,
INCENP_PLK1,INCENP,1,,PLK1,1,1,1,,,,,,,,,,,
ADCY3_GNAO1,ADCY3,1,1,GNAO1,1,,1,1,1,1,,1,,,,,,
EIF5B_RPL19,EIF5B,,,RPL19,1,1,1,,,,,,,,,,,
PELP1_PWP2,PELP1,1,1,PWP2,1,1,1,,1,,,,,,,1,,1
PCBP2_RBMX,PCBP2,1,1,RBMX,1,1,1,,,,,,,1,,,,
NRAS_SRC,NRAS,1,1,SRC,1,1,1,,,,,,,,,,,1
GART_SHMT2,GART,1,,SHMT2,1,,1,,,,,,,,,,,
SPTBN1_TMED7,SPTBN1,1,,TMED7,,,1,1,,,,,,,,,,
CD59_LMAN2,CD59,,,LMAN2,1,1,1,,1,,,,,1,,,1,1
GNAO1_PXN,GNAO1,1,,PXN,1,,1,1,1,1,,,,,,,,
GPR161_TULP3,GPR161,,,TULP3,,,1,1,1,,,,,,,,,1
CCNB1_NCAPH2,CCNB1,1,1,NCAPH2,1,,1,,,,,,,,,,,
MRTO4_RPS9,MRTO4,1,1,RPS9,1,1,1,1,1,,,,,1,,,1,1
HMMR_TUBB,HMMR,1,,TUBB,1,,1,1,,1,,,,,,,,
CSTF2_NCBP2,CSTF2,1,1,NCBP2,1,1,1,1,,,,,,,,,,
BUB1_KIF20A,BUB1,,,KIF20A,1,,1,1,1,,,,,,,,,
IRF1_IRF5,IRF1,1,1,IRF5,1,,1,,,1,,,,,,1,,
ALOX15B_PLA2G4A,ALOX15B,,,PLA2G4A,1,,1,1,1,,,,,1,,,1,
RPL24_RPL29,RPL24,,,RPL29,,1,1,,1,,,,,1,,,,
PREB_SEC24D,PREB,1,,SEC24D,,1,1,,,,1,,,,,,,
MRPL14_MRPL41,MRPL14,,,MRPL41,,,1,1,,1,,1,,1,,1,,1
PAK2_SLIT2,PAK2,1,,SLIT2,1,,1,1,1,1,,,,,,,,
KPNB1_NUP205,KPNB1,1,,NUP205,1,,1,,,1,,1,,,,,,
CENPX_FAAP100,CENPX,1,,FAAP100,,,1,1,,,,,,,,,,
NCAPG_RRM2,NCAPG,1,,RRM2,1,,1,,,,,,,,1,,,
EHD1_SNAP29,EHD1,,,SNAP29,,1,1,,,,,,,1,1,1,,1
NCBP2_POLR2D,NCBP2,1,1,POLR2D,1,1,1,,,,,,,,,,,
EXOSC2_WDR18,EXOSC2,1,,WDR18,1,,1,,,,,,,,,,,
RPL13_RSL24D1,RPL13,1,1,RSL24D1,,,1,,,,,,,,,,,
NOP2_RPF1,NOP2,1,,RPF1,1,,1,,,,,,,,,,,
CBLB_SMURF1,CBLB,1,,SMURF1,1,,1,,,,1,1,,,,,1,
DDX39A_SRSF2,DDX39A,,,SRSF2,1,1,1,,,,,,,,,,,
RPTOR_RRAGD,RPTOR,1,,RRAGD,,,1,1,,,,,,,,,,
CAP1_SLIT2,CAP1,,,SLIT2,1,,1,1,1,1,,1,,,,,1,
CENPF_MAD2L1,CENPF,1,,MAD2L1,,,1,,,,,,,,,,,
CSNK1D_HAUS6,CSNK1D,1,,HAUS6,1,,1,,,,,1,,,,,1,
CCNB1_PKMYT1,CCNB1,1,1,PKMYT1,1,,1,1,1,,,,,,,,,
RPL24_RPS9,RPL24,,,RPS9,1,1,1,,,,,,,,,,,
CEBPZ_UTP14A,CEBPZ,1,,UTP14A,1,1,1,,,,,,,,,,,
RPF2_WDR3,RPF2,1,,WDR3,1,,1,,,,,,,,,,,
HNRNPUL1_PRPF4,HNRNPUL1,1,,PRPF4,1,,1,1,,,,,,,,,,
GNAI2_GNAO1,GNAI2,1,1,GNAO1,1,,1,1,1,,,,,,,,,
RIOK1_UTP3,RIOK1,1,,UTP3,1,1,1,1,,,1,,,1,,,,1
CSNK1D_UTP3,CSNK1D,1,,UTP3,1,1,1,,,,1,1,,1,,,,
NOP9_TSR1,NOP9,1,,TSR1,1,,1,,1,,,1,,,,,,
CERS5_SPHK1,CERS5,,,SPHK1,1,1,1,,,,,1,,,,,,
ASPM_NCAPG,ASPM,,,NCAPG,1,,1,,,,,,,,,,,
PARP1_UBE2N,PARP1,1,,UBE2N,1,1,1,,,1,,,,,,,,
SNAP23_YKT6,SNAP23,,,YKT6,1,1,1,,,,1,1,,,,,,
CKAP5_KIF2A,CKAP5,1,,KIF2A,1,,1,1,,,1,,,,,,,
MFAP1_PRPF8,MFAP1,,,PRPF8,,,1,,,,,,,,,,,1
BIRC5_KIF20A,BIRC5,1,,KIF20A,1,,1,1,,,,,,,,,,
FBXW11_PJA2,FBXW11,,,PJA2,1,,1,1,1,,,,,,,,,1
MYH10_RHOC,MYH10,,,RHOC,1,,1,1,,,,,,,,,,
EIF3E_EIF3H,EIF3E,,1,EIF3H,1,1,1,,1,,,,,1,,1,,
BUB1B_XPO1,BUB1B,1,1,XPO1,1,,1,,,1,,,,1,,1,,
